models,dataset,acc,tokens_used_mean,probe_tokens_used_mean,offline_candidate_layers,online_k_scale
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.482,598.598,124.712,0.8,0.5
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.478,446.632,101.02,0.6,1
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.476,545.332,108.268,0.6,0.5
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.472,504.456,119.074,0.8,0.75
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.468,618.334,117.784,0.2,0.5
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.464,641.446,123.278,0.6,0.25
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.65,9253.95,135,0.2,0.5
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.65,8941.4,140,0.2,0.75
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.6,9707.7,136.6,0.6,0.5
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.6,10523.9,131,0.6,1
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,10112.5,139.5,0.2,1
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,10806.35,134,0.4,0.25
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,10259.05,137.8,0.4,0.75
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,9812.15,140,0.6,0.25
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,10315.4,140,0.6,0.75
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,9806.45,140,0.8,0.75
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,9195.4,139.9,0.8,1
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.5,9564.95,140,0.2,0.25
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.5,9455.7,139.5,0.8,0.5
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.45,10777.3,134.2,0.4,0.5
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.45,9986.05,129.8,0.8,0.25
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.4,12044.1,140,0.4,1
DeepSeek-R1-Distill-Qwen-7B,aime25,0.5,10105.75,137,0.4,0.25
